model,task,category,score,passed,wall_s,tok_s,tokens,prompt_tokens,ok,tier,timestamp
codestral:22b,inv_find_bug,investigate,0.75,True,146.89,5.8,600,160,True,,2026-07-27T12:55:29
codestral:22b,diag_ev_system,diagnose,1.0,True,106.0,5.73,600,107,True,,2026-07-27T12:57:56
codestral:22b,create_dispensa,create,1.0,True,111.36,6.12,674,106,True,,2026-07-27T12:59:42
codestral:22b,search_mosfet,search,0.5,True,95.22,6.38,600,113,True,,2026-07-27T13:01:33
codestral:22b,fix_injection,fix,0.67,True,58.21,6.45,368,144,True,,2026-07-27T13:03:08
codestral:22b,predict_batt_degrad,predict,0.67,False,75.14,6.41,475,106,True,,2026-07-27T13:04:06
codestral:22b,multi_build_scooter,multi_step,1.0,True,96.12,6.07,577,119,True,,2026-07-27T13:05:22
codestral:22b,code_battery_monitor,create,1.0,True,101.04,6.35,634,137,True,,2026-07-27T13:06:58
codestral:22b,search_tools,search,0.25,False,95.95,6.32,600,81,True,,2026-07-27T13:08:39
codestral:22b,diag_comm_error,diagnose,0.5,False,69.3,6.42,438,95,True,,2026-07-27T13:10:15
gpt-oss:20b,inv_find_bug,investigate,0.0,False,65.52,30.79,600,190,True,,2026-07-27T13:11:24
gpt-oss:20b,diag_ev_system,diagnose,0.0,False,20.33,31.18,600,151,True,,2026-07-27T13:12:30
gpt-oss:20b,create_dispensa,create,1.0,True,26.76,31.21,800,151,True,,2026-07-27T13:12:50
gpt-oss:20b,search_mosfet,search,0.0,False,20.28,31.12,600,153,True,,2026-07-27T13:13:17
gpt-oss:20b,fix_injection,fix,0.67,True,20.39,31.21,600,178,True,,2026-07-27T13:13:37
gpt-oss:20b,predict_batt_degrad,predict,0.0,False,20.17,31.31,600,146,True,,2026-07-27T13:13:57
gpt-oss:20b,multi_build_scooter,multi_step,0.0,False,26.85,31.09,800,153,True,,2026-07-27T13:14:17
gpt-oss:20b,code_battery_monitor,create,0.33,False,26.69,31.25,800,180,True,,2026-07-27T13:14:44
gpt-oss:20b,search_tools,search,0.0,False,20.29,31.32,600,130,True,,2026-07-27T13:15:11
gpt-oss:20b,diag_comm_error,diagnose,0.0,False,20.15,31.31,600,142,True,,2026-07-27T13:15:31
deepseek-coder-v2:16b,inv_find_bug,investigate,0.75,True,27.01,68.31,600,159,True,,2026-07-27T13:15:51
deepseek-coder-v2:16b,diag_ev_system,diagnose,0.5,False,1.81,76.5,101,110,True,,2026-07-27T13:16:18
deepseek-coder-v2:16b,create_dispensa,create,1.0,True,11.17,68.12,732,107,True,,2026-07-27T13:16:20
deepseek-coder-v2:16b,search_mosfet,search,0.75,True,9.15,69.46,600,109,True,,2026-07-27T13:16:31
deepseek-coder-v2:16b,fix_injection,fix,1.0,True,9.2,68.81,600,144,True,,2026-07-27T13:16:41
deepseek-coder-v2:16b,predict_batt_degrad,predict,0.67,False,9.11,69.63,600,107,True,,2026-07-27T13:16:50
deepseek-coder-v2:16b,multi_build_scooter,multi_step,1.0,True,18.82,60.39,1105,111,True,,2026-07-27T13:16:59
deepseek-coder-v2:16b,code_battery_monitor,create,1.0,True,13.5,61.93,800,136,True,,2026-07-27T13:17:18
deepseek-coder-v2:16b,search_tools,search,0.5,True,9.76,65.02,600,82,True,,2026-07-27T13:17:31
deepseek-coder-v2:16b,diag_comm_error,diagnose,1.0,True,9.45,67.13,600,99,True,,2026-07-27T13:17:41
starcoder2:15b,inv_find_bug,investigate,0.25,False,25.85,21.7,258,135,True,,2026-07-27T13:17:50
starcoder2:15b,diag_ev_system,diagnose,0.5,False,4.67,22.17,97,94,True,,2026-07-27T13:18:16
starcoder2:15b,create_dispensa,create,0.45,False,7.81,21.93,165,88,True,,2026-07-27T13:18:21
starcoder2:15b,search_mosfet,search,0.25,False,3.48,22.25,71,92,True,,2026-07-27T13:18:29
starcoder2:15b,fix_injection,fix,1.0,True,24.27,21.53,516,116,True,,2026-07-27T13:18:32
starcoder2:15b,predict_batt_degrad,predict,0.67,False,7.09,21.94,149,89,True,,2026-07-27T13:18:57
starcoder2:15b,multi_build_scooter,multi_step,0.0,False,0.3,1000000.0,1,102,True,,2026-07-27T13:19:04
starcoder2:15b,code_battery_monitor,create,0.0,False,0.36,40.96,2,121,True,,2026-07-27T13:19:04
starcoder2:15b,search_tools,search,0.25,False,4.94,22.1,103,71,True,,2026-07-27T13:19:04
starcoder2:15b,diag_comm_error,diagnose,0.5,True,4.5,22.22,94,88,True,,2026-07-27T13:19:09
qwen2.5-coder:14b,inv_find_bug,investigate,1.0,True,50.42,21.06,600,144,True,,2026-07-27T13:19:14
qwen2.5-coder:14b,diag_ev_system,diagnose,1.0,True,28.89,21.14,600,105,True,,2026-07-27T13:20:04
qwen2.5-coder:14b,create_dispensa,create,1.0,True,45.63,20.79,939,102,True,,2026-07-27T13:20:33
qwen2.5-coder:14b,search_mosfet,search,0.75,True,29.08,20.99,600,110,True,,2026-07-27T13:21:19
qwen2.5-coder:14b,fix_injection,fix,1.0,True,29.15,20.92,600,127,True,,2026-07-27T13:21:48
qwen2.5-coder:14b,predict_batt_degrad,predict,0.67,False,29.14,20.93,600,105,True,,2026-07-27T13:22:17
qwen2.5-coder:14b,multi_build_scooter,multi_step,1.0,True,25.92,20.94,533,112,True,,2026-07-27T13:22:46
qwen2.5-coder:14b,code_battery_monitor,create,1.0,True,37.7,20.78,773,134,True,,2026-07-27T13:23:12
qwen2.5-coder:14b,search_tools,search,0.5,True,29.13,20.93,600,80,True,,2026-07-27T13:23:50
qwen2.5-coder:14b,diag_comm_error,diagnose,1.0,True,29.18,20.87,600,93,True,,2026-07-27T13:24:19
qwen2.5-coder:7b,inv_find_bug,investigate,0.5,False,32.51,64.43,600,144,True,,2026-07-27T13:24:48
qwen2.5-coder:7b,diag_ev_system,diagnose,0.5,False,9.54,64.63,600,105,True,,2026-07-27T13:25:21
qwen2.5-coder:7b,create_dispensa,create,1.0,True,9.4,64.5,592,102,True,,2026-07-27T13:25:30
qwen2.5-coder:7b,search_mosfet,search,0.5,True,9.57,64.19,600,110,True,,2026-07-27T13:25:39
qwen2.5-coder:7b,fix_injection,fix,1.0,True,9.55,64.36,600,127,True,,2026-07-27T13:25:49
qwen2.5-coder:7b,predict_batt_degrad,predict,0.67,False,9.56,64.19,600,105,True,,2026-07-27T13:25:59
